2021-04-25 15:29:26: == Sync Started by User Command
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/39/39da35728ddbeff053323708b4202e34
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/3e/3efcb4fe136d2b5cf3fbc3f6cca26d83
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/3f/3fd0e3256d249908ea2a716d41fdafc1
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/40/406b9ec235a70c679d809d416e3f8b7a
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/40/40ad3cb639c10198a952ebee8859731d
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/40/40d6a63a2d77bd20afbeab4733bfaf4b
2021-04-25 15:29:26: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/40/40f44176c6bfc40b2fb1fc64eb3f7beb
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/41/41e12f2875ba027ff75963f1c9eedde9
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/42/421f34f7342d8709d65cfcb0d2ef9727
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/44/44f6b02896be1fe9966d07095a9b6b4a
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/47/470e9f597f692fcdda57c0a42da368fd
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/47/47cf6ff15d63dd22c8678400d80ce1c1
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/49/49644c060596773d89678eb227464a8e
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/4a/4a7842e8f69ea50a700f6142ade3005d
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/4d/4dada87fa83914b2c3c471851f70298f
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/4e/4e8d4c0011723e5518be84cf2d7a5a07
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/50/509c86e5c694faaf67e9cdbc41b64d2b
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/51/5114b82008aca2efc131ef8d12b8c8d5
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/51/512be5dae78eb704072614e3bc86de7e
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/51/5140404e9f35ab98f5bb848efafe49d7
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/52/52c18e0f50402d7fe9bf66ba2a16cde0
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/52/52ee08a18f9ae282a80e41f5051e6733
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/53/5311363c2aa2851332d8464e9d86fc87
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/54/541405da81c8c02b49578386e4eeadee
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/55/55d7a26e4a31bb4b8aaef324010353b7
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/56/56804b7fdd9a055acc43c8c24d4abca9
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/59/591f6c7cdc1727bd0a43184799eae587
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/5a/5a96e16d0dd67b40dda4e044f7b33ec3
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/5b/5bf812709eadc4209ff070032d6108de
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/5c/5cf580630b2d8af0cb86e79ef67990b9
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/5e/5ece8980812c36f8128c348f1f049763
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/5f/5f9da03658f499f3103686ee5778d195
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/5f/5fa58a9ff8be4f7f5d0dc69fb464b2ec
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/60/60038f016b40c71aa8bce7c59732cd43
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/60/60d236d3e0c8d84b2a09fb1b92f96d22
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/62/6252ed549a015035bdc8d6768895f7b7
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/62/626ec73176d2134e168e632df4d0ad58
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/62/62b2a4054163fcabde8c729f52a405a9
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/62/62d48ad7d1ee740309fa750391338f25
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/64/640a37d8e7b0681be750b987bcf0fa41
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/64/64d4ac3b43f961e1a5d59cdb284e6635
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/64/64e85c802ff3f9e83ecc087bc0b8b702
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/66/665875007078b3338db86f0d078ca8cf
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/68/680a720b84ad2548c84c76e2433ba034
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/68/688cee62798a92e463dfa7441dfd74be
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/69/693704e52b746618e140beafde41c136
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/69/69a79e658b09b0ba3da4f345d360423c
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/6b/6ba6b85b04193df1f735d13398c6873a
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/6d/6d22b1a734faf498a3a82e2f0a59d518
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/6e/6e8508efca6d28fe6f1797f570d6c044
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/6f/6f846e36a9530f191cc35487c5f0c2e8
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/70/705c617ccc5cd8b14d52fc466911cddb
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/71/7184cea454cdde3ea4b4741d606cb9b6
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/75/75157e2ab7d1fa5203ea1501d1598a1a
2021-04-25 15:29:27: Удалён Файл Z:/Portal Программы/_GitHub/GamePenguin/New Unity Project (1)/Library/Artifacts/75/757ae9b552830fce492a7f4b269ca0cc
